,Location,No. of Bedrooms,City,price_lack
1214,Banashankari,3.0,Banglore,5100000
1215,Banashankari,3.0,Banglore,4600000
1216,Kogilu,3.0,Banglore,12000000
1217,Kogilu,3.0,Banglore,12200000
1218,Kogilu,2.0,Banglore,10200000
1219,Kogilu,3.0,Banglore,12400000
1220,Kogilu,2.0,Banglore,9595000
1221,Kogilu,3.0,Banglore,11900000
1222,Electronics City,2.0,Banglore,5050000
1223,Electronics City,1.0,Banglore,3735000
1224,Bommasandra,3.0,Banglore,5180000
1225,Bommasandra,2.0,Banglore,3700000
1226,Electronics City,1.0,Banglore,3735000
1227,Electronics City,3.0,Banglore,5050000
1228,Bommasandra,2.0,Banglore,4099000
1229,Jigani,2.0,Banglore,3735000
1230,Bommasandra,2.0,Banglore,3735000
1231,Jigani,2.0,Banglore,3735000
1232,Electronics City,2.0,Banglore,3734000
1233,Electronics City,2.0,Banglore,4099000
1234,Jigani,2.0,Banglore,4099000
1235,RR Nagar,2.0,Banglore,4800000
1236,RR Nagar,3.0,Banglore,6514000
1237,RR Nagar,2.0,Banglore,4440000
1238,RR Nagar,2.0,Banglore,5000000
1239,RR Nagar,3.0,Banglore,5202000
1240,RR Nagar,2.0,Banglore,4440000
1241,RR Nagar,2.0,Banglore,5380000
1242,RR Nagar,3.0,Banglore,5739000
1243,RR Nagar,3.0,Banglore,6426000
1244,RR Nagar,3.0,Banglore,5800000
1245,RR Nagar,2.0,Banglore,5148000
1246,RR Nagar,2.0,Banglore,6028000
1247,RR Nagar,3.0,Banglore,5451000
1248,RR Nagar,2.0,Banglore,4400000
1249,RR Nagar,2.0,Banglore,5380000
1250,RR Nagar,3.0,Banglore,5739000
1251,RR Nagar,3.0,Banglore,6426000
1252,RR Nagar,3.0,Banglore,5800000
1253,RR Nagar,2.0,Banglore,5148000
1254,RR Nagar,2.0,Banglore,6028000
1255,RR Nagar,2.0,Banglore,4440000
1256,RR Nagar,3.0,Banglore,6400000
1257,RR Nagar,2.0,Banglore,5380000
1258,RR Nagar,2.0,Banglore,4440000
1259,RR Nagar,3.0,Banglore,5600000
1260,RR Nagar,3.0,Banglore,6466000
1261,RR Nagar,3.0,Banglore,5322000
1262,RR Nagar,3.0,Banglore,5739000
1263,RR Nagar,3.0,Banglore,5257000
1264,RR Nagar,3.0,Banglore,5451000
1265,RR Nagar,3.0,Banglore,6466000
1266,RR Nagar,3.0,Banglore,6413000
1267,RR Nagar,2.0,Banglore,5148000
1268,RR Nagar,3.0,Banglore,6400000
1269,RR Nagar,2.0,Banglore,4440000
1270,RR Nagar,2.0,Banglore,5000000
1271,RR Nagar,3.0,Banglore,5202000
1272,RR Nagar,2.0,Banglore,4440000
1273,RR Nagar,2.0,Banglore,4400000
1274,RR Nagar,3.0,Banglore,5322000
1275,RR Nagar,3.0,Banglore,5739000
1276,RR Nagar,3.0,Banglore,5257000
1277,RR Nagar,3.0,Banglore,5451000
1278,RR Nagar,3.0,Banglore,6466000
1279,RR Nagar,2.0,Banglore,5148000
1280,RR Nagar,3.0,Banglore,6400000
1281,RR Nagar,2.0,Banglore,5148000
1282,RR Nagar,3.0,Banglore,6466000
1283,RR Nagar,3.0,Banglore,6413000
1284,RR Nagar,2.0,Banglore,5040000
1285,RR Nagar,2.0,Banglore,5485000
1286,RR Nagar,3.0,Banglore,6426000
1287,RR Nagar,2.0,Banglore,4440000
1288,RR Nagar,3.0,Banglore,6459999
1289,RR Nagar,2.0,Banglore,4400000
1290,RR Nagar,2.0,Banglore,5148000
1291,RR Nagar,3.0,Banglore,6514000
1292,RR Nagar,3.0,Banglore,6400000
1293,RR Nagar,3.0,Banglore,6400000
1294,RR Nagar,2.0,Banglore,4440000
1295,RR Nagar,2.0,Banglore,4440000
1296,RR Nagar,2.0,Banglore,5959000
1297,RR Nagar,2.0,Banglore,5040000
1298,RR Nagar,2.0,Banglore,4440000
1299,RR Nagar,2.0,Banglore,6028000
1300,RR Nagar,2.0,Banglore,6400000
1301,RR Nagar,2.0,Banglore,5380000
1302,RR Nagar,2.0,Banglore,5023000
1303,RR Nagar,2.0,Banglore,5023000
1304,RR Nagar,2.0,Banglore,5400000
1305,RR Nagar,2.0,Banglore,5148000
1306,RR Nagar,2.0,Banglore,5400000
1307,RR Nagar,2.0,Banglore,4440000
1308,RR Nagar,2.0,Banglore,4784000
1309,RR Nagar,2.0,Banglore,4800000
1310,RR Nagar,2.0,Banglore,4440000
1311,Electronic City Phase 2,2.0,Banglore,3897999
1312,Bommasandra,2.0,Banglore,3761999
1313,Bommasandra,2.0,Banglore,4110000
1314,Bommasandra,2.0,Banglore,4000000
1315,Bommasandra,2.0,Banglore,3958000
1316,Bommasandra,2.0,Banglore,3735000
1317,Bommasandra,2.0,Banglore,4079999
1318,Bommasandra,2.0,Banglore,4079999
1319,Bommasandra,2.0,Banglore,3929000
1320,Bommasandra,2.0,Banglore,3820000
1321,Bommasandra,2.0,Banglore,4220000
1322,Bommasandra,2.0,Banglore,4020000
1323,Bommasandra,3.0,Banglore,5077000
1324,Devanahalli,2.0,Banglore,4500000
1325,Devanahalli,2.0,Banglore,4400000
1326,Bilekahalli,3.0,Banglore,15200000
1327,Bilekahalli,4.0,Banglore,25600000
1328,Bilekahalli,3.0,Banglore,20099999
1329,Kudlu,3.0,Banglore,11900000
1330,Kudlu,3.0,Banglore,12100000
1331,Kudlu,3.0,Banglore,12300000
1332,Kudlu,3.0,Banglore,12300000
1333,Horamavu,2.0,Banglore,4100000
1334,Begur,2.0,Banglore,6830000
1335,Begur,2.0,Banglore,6750000
1336,Begur,2.0,Banglore,6800000
1337,Devanahalli,2.0,Banglore,3840000
1338,Devanahalli,2.0,Banglore,3800000
1339,Devanahalli,2.0,Banglore,4000000
1340,Devanahalli,2.0,Banglore,3847999
1341,Devanahalli,2.0,Banglore,3835000
1342,Devanahalli,2.0,Banglore,3825000
1343,Devanahalli,2.0,Banglore,3865000
1344,Bommasandra,2.0,Banglore,3900000
1345,Bommasandra,2.0,Banglore,4100000
1346,Bommasandra,2.0,Banglore,4000000
1347,Bommasandra,2.0,Banglore,4100000
1348,Bommasandra,3.0,Banglore,5300000
1349,Bommasandra,2.0,Banglore,4100000
1350,Bommasandra,3.0,Banglore,5300000
1351,Bommasandra,3.0,Banglore,5300000
1352,Bommasandra,2.0,Banglore,4100000
1353,Bommasandra,3.0,Banglore,5300000
1354,Bommasandra,2.0,Banglore,4100000
1355,Muneshwara Nagar,3.0,Banglore,8450000
1356,Muneshwara Nagar,3.0,Banglore,7995000
1357,Muneshwara Nagar,3.0,Banglore,8874000
1358,Muneshwara Nagar,3.0,Banglore,7767000
1359,Muneshwara Nagar,3.0,Banglore,8450000
1360,BTM Layout,3.0,Banglore,13899999
1361,BTM Layout,3.0,Banglore,20099999
1362,BTM Layout,3.0,Banglore,15700000
1363,BTM Layout,3.0,Banglore,15700000
1364,Nayandahalli,3.0,Banglore,9800000
1365,Nayandahalli,2.0,Banglore,7650000
1366,Nayandahalli,2.0,Banglore,7200000
1367,Nayandahalli,3.0,Banglore,10200000
1368,Nayandahalli,3.0,Banglore,12800000
1369,Nayandahalli,3.0,Banglore,12600000
1370,Nayandahalli,3.0,Banglore,13600000
1371,Nayandahalli,3.0,Banglore,12600000
1372,Nayandahalli,3.0,Banglore,12600000
1373,Nayandahalli,3.0,Banglore,12400000
1374,Junnasandra,3.0,Banglore,10900000
1375,Junnasandra,3.0,Banglore,14000000
1376,Junnasandra,3.0,Banglore,10900000
1377,Whitefield Hope Farm Junction,2.0,Banglore,4751000
1378,Whitefield Hope Farm Junction,2.0,Banglore,4565000
1379,RR Nagar,3.0,Banglore,9222000
1380,Muneshwara Nagar,3.0,Banglore,8874000
1381,Muneshwara Nagar,3.0,Banglore,8450000
1382,BTM Layout,3.0,Banglore,13899999
1383,BTM Layout,3.0,Banglore,15500000
1384,R T  Nagar,3.0,Banglore,9000000
1385,BTM Layout,3.0,Banglore,13899999
1386,Begur,2.0,Banglore,7600000
1387,Begur,2.0,Banglore,7300000
1388,Begur,2.0,Banglore,7450000
1389,Begur,2.0,Banglore,7300000
1390,Begur,2.0,Banglore,7000000
1391,Begur,3.0,Banglore,7950000
1392,Begur,3.0,Banglore,8350000
1393,Begur,3.0,Banglore,8250000
1394,Begur,3.0,Banglore,8050000
1395,Begur,3.0,Banglore,7800000
1396,Begur,3.0,Banglore,7800000
1397,Begur,2.0,Banglore,7800000
1398,Begur,2.0,Banglore,7450000
1399,Bommasandra,2.0,Banglore,4100000
1400,Bommasandra,3.0,Banglore,5300000
1401,Bommasandra,2.0,Banglore,4000000
1402,Bommasandra,2.0,Banglore,4100000
1403,Bommasandra,2.0,Banglore,4100000
1404,Bommasandra,4.0,Banglore,4100000
1405,Bommasandra,2.0,Banglore,4100000
1406,Bommasandra,2.0,Banglore,4200000
1407,Bommasandra,1.0,Banglore,3735000
1408,Jigani,1.0,Banglore,3735000
1409,Bommasandra,1.0,Banglore,3735000
1410,Bommasandra,2.0,Banglore,5050000
1411,Bommasandra,3.0,Banglore,5100000
1412,Bommasandra,2.0,Banglore,4000000
1413,Bommasandra,2.0,Banglore,4200000
1414,Bommasandra,3.0,Banglore,5075000
1415,Bommasandra,2.0,Banglore,3975000
1416,Bommasandra,2.0,Banglore,4000000
1417,Bommasandra,2.0,Banglore,4100000
1418,Bommasandra,2.0,Banglore,4100000
1419,Bommasandra,3.0,Banglore,5100000
1420,Bommasandra,2.0,Banglore,4100000
1421,Bommasandra,2.0,Banglore,4100000
1422,Bommasandra,2.0,Banglore,4100000
1423,Bommasandra,3.0,Banglore,5300000
1424,Bommasandra,3.0,Banglore,5300000
1425,BTM Layout,3.0,Banglore,15700000
1426,Electronic City Phase 2,2.0,Banglore,2876000
1427,Electronic City Phase 2,2.0,Banglore,2620000
1428,Electronic City Phase 2,2.0,Banglore,3668000
1429,Bommasandra,2.0,Banglore,4100000
1430,Bommasandra,3.0,Banglore,5300000
1431,Bommasandra,3.0,Banglore,5300000
1432,BTM Layout,3.0,Banglore,15700000
1433,Electronic City Phase 2,2.0,Banglore,2876000
1434,Electronic City Phase 2,2.0,Banglore,2620000
1435,Electronic City Phase 2,2.0,Banglore,3668000
1436,Electronic City Phase 2,3.0,Banglore,4861000
1437,Horamavu,2.0,Banglore,4880000
1438,Kadugodi Industrial Area,2.0,Banglore,4900000
1439,Whitefield Hope Farm Junction,3.0,Banglore,5933000
1440,Whitefield Hope Farm Junction,3.0,Banglore,5644000
1441,Kudlu,3.0,Banglore,11900000
1442,Kudlu,3.0,Banglore,11800000
1443,Kudlu,3.0,Banglore,12200000
1444,Kudlu,3.0,Banglore,12100000
1445,Kudlu,3.0,Banglore,12500000
1446,Kudlu,3.0,Banglore,12100000
1447,Kudlu,3.0,Banglore,12300000
1448,Kudlu,3.0,Banglore,11500000
1449,Kudlu,3.0,Banglore,11900000
1450,Horamavu,2.0,Banglore,4854000
1451,Horamavu,2.0,Banglore,4815000
1452,Horamavu,2.0,Banglore,5050000
1453,Horamavu,2.0,Banglore,4619000
1454,Horamavu,2.0,Banglore,4785000
1455,Sahakar Nagar,4.0,Banglore,44900000
1456,Sahakar Nagar,4.0,Banglore,43400000
1457,Sahakar Nagar,4.0,Banglore,40300000
1458,Horamavu,2.0,Banglore,4972000
1459,Horamavu,2.0,Banglore,4737000
1460,Electronic City Phase 2,3.0,Banglore,8218000
1461,Electronic City Phase 2,3.0,Banglore,8370999
1462,Electronic City Phase 2,3.0,Banglore,8039000
1463,Electronic City Phase 2,2.0,Banglore,5868000
1464,Electronic City Phase 2,2.0,Banglore,6021000
1465,Electronic City Phase 2,2.0,Banglore,7194000
1466,Electronic City Phase 2,2.0,Banglore,7581000
1467,Electronic City Phase 2,3.0,Banglore,8137000
1468,Marathahalli,3.0,Banglore,19300000
1469,Marathahalli,3.0,Banglore,30900000
1470,ITPL,3.0,Banglore,17500000
1471,ITPL,4.0,Banglore,25000000
1472,Kothanur,2.0,Banglore,5500000
1473,Jakkur,3.0,Banglore,7631999
1474,Jakkur,2.0,Banglore,6612000
1475,Jakkur,2.0,Banglore,5443000
1476,Thanisandra,2.0,Banglore,5339000
1477,Thanisandra,2.0,Banglore,5253000
1478,Thanisandra,3.0,Banglore,8088000
1479,Thanisandra,3.0,Banglore,7073000
1480,Thanisandra,2.0,Banglore,6395000
1481,Thanisandra,3.0,Banglore,7272000
1482,Thanisandra,3.0,Banglore,7109000
1483,Thanisandra,3.0,Banglore,7293000
1484,Thanisandra,3.0,Banglore,7655000
1485,Thanisandra,3.0,Banglore,6808000
1486,Whitefield Hope Farm Junction,3.0,Banglore,11600000
1487,Whitefield Hope Farm Junction,3.0,Banglore,11700000
1488,Whitefield Hope Farm Junction,3.0,Banglore,11700000
1489,Whitefield Hope Farm Junction,3.0,Banglore,11200000
1490,Whitefield Hope Farm Junction,3.0,Banglore,11500000
1491,Whitefield Hope Farm Junction,3.0,Banglore,11000000
1492,Varthur,2.0,Banglore,8800000
1493,Varthur,3.0,Banglore,15400000
1494,RR Nagar,3.0,Banglore,7900000
1495,RMV Extension Stage 2,3.0,Banglore,16500000
1496,Kudlu,1.0,Banglore,3024000
1497,Kudlu,2.0,Banglore,5250000
1498,Kudlu,2.0,Banglore,5145000
1499,Kudlu,2.0,Banglore,4998000
1500,Kudlu,2.0,Banglore,5040000
1501,Kudlu,2.0,Banglore,4620000
1502,Electronic City Phase 2,2.0,Banglore,3420000
1503,Electronic City Phase 2,2.0,Banglore,2820000
1504,Electronic City Phase 2,3.0,Banglore,3960000
1505,Electronic City Phase 2,2.0,Banglore,3479999
1506,Electronic City Phase 2,2.0,Banglore,2880000
1507,Electronic City Phase 2,2.0,Banglore,3180000
1508,Horamavu,2.0,Banglore,5100000
1509,Varthur,2.0,Banglore,8800000
1510,Varthur,3.0,Banglore,15400000
1511,Varthur,3.0,Banglore,11000000
1512,Krishnarajapura,2.0,Banglore,5250000
1513,Kadugodi,3.0,Banglore,8230000
1514,Varthur,2.0,Banglore,5400000
1515,Krishnarajapura,2.0,Banglore,5400000
1516,Kadugodi,3.0,Banglore,8500000
1517,Kadugodi,3.0,Banglore,8600000
1518,Marathahalli,4.0,Banglore,26200000
1519,Marathahalli,4.0,Banglore,36200000
1520,Marathahalli,4.0,Banglore,37500000
1521,Marathahalli,4.0,Banglore,31700000
1522,Marathahalli,4.0,Banglore,28400000
1523,JP Nagar Phase 7,4.0,Banglore,29300000
1524,RR Nagar,3.0,Banglore,9999000
1525,Koramangala,3.0,Banglore,25500000
1526,Koramangala,4.0,Banglore,34000000
1527,Koramangala,2.0,Banglore,17500000
1528,Koramangala,4.0,Banglore,34500000
1529,Koramangala,2.0,Banglore,19500000
1530,Varthur,2.0,Banglore,8800000
1531,Varthur,3.0,Banglore,15400000
1532,Varthur,3.0,Banglore,11000000
1533,Bommanahalli,2.0,Banglore,9277000
1534,Bommanahalli,3.0,Banglore,11600000
1535,Bommanahalli,3.0,Banglore,10900000
1536,Bommanahalli,3.0,Banglore,10500000
1537,Bommanahalli,3.0,Banglore,9859000
1538,ITPL,1.0,Banglore,4550000
1539,Konanakunte,4.0,Banglore,40400000
1540,Konanakunte,3.0,Banglore,33100000
1541,Konanakunte,4.0,Banglore,40199999
1542,Konanakunte,4.0,Banglore,41600000
1543,Konanakunte,3.0,Banglore,33600000
1544,Konanakunte,3.0,Banglore,32000000
1545,Electronic City Phase 2,3.0,Banglore,4800000
1546,RR Nagar,3.0,Banglore,13500000
1547,Rajajinagar,4.0,Banglore,68700000
1548,Nelamangala,2.0,Banglore,4359000
1549,Jalahalli,3.0,Banglore,8570000
1550,Whitefield,4.0,Banglore,23500000
1551,Yelahanka,3.0,Banglore,9900000
1552,Rajajinagar,3.0,Banglore,46100000
1553,Nelamangala,3.0,Banglore,5055000
1554,Nelamangala,3.0,Banglore,6819000
1555,Nelamangala,2.0,Banglore,3872999
1556,Electronic City Phase 2,3.0,Banglore,8370999
1557,Electronic City Phase 2,3.0,Banglore,8039000
1558,Electronic City Phase 2,2.0,Banglore,5868000
1559,Electronic City Phase 2,2.0,Banglore,6021000
1560,Electronic City Phase 2,2.0,Banglore,7194000
1561,Electronic City Phase 2,2.0,Banglore,7581000
1562,Electronic City Phase 2,3.0,Banglore,8137000
1563,Jakkur,2.0,Banglore,6612000
1564,Jakkur,2.0,Banglore,5443000
1565,Jakkur,3.0,Banglore,7631999
1566,Horamavu,1.0,Banglore,4371000
1567,Horamavu,1.0,Banglore,4371000
1568,Horamavu,1.0,Banglore,4888000
1569,Horamavu,2.0,Banglore,4582000
1570,Horamavu,1.0,Banglore,4371000
1571,Horamavu,1.0,Banglore,4888000
1572,Horamavu,2.0,Banglore,4582000
1573,Horamavu,2.0,Banglore,4831000
1574,Horamavu,2.0,Banglore,4845000
1575,Horamavu,2.0,Banglore,4855000
1576,Horamavu,1.0,Banglore,5200000
1577,Ramamurthy Nagar,1.0,Banglore,4163000
1578,ITPL,1.0,Banglore,4950000
1579,Ramamurthy Nagar,1.0,Banglore,4738000
1580,Jakkur,2.0,Banglore,6655000
1581,Jakkur,2.0,Banglore,7476000
1582,Jakkur,3.0,Banglore,9762000
1583,Jakkur,3.0,Banglore,9785000
1584,RMV,3.0,Banglore,17900000
1585,Sahakar Nagar,3.0,Banglore,16000000
1586,Sahakar Nagar,3.0,Banglore,16000000
1587,Sahakar Nagar,3.0,Banglore,16000000
1588,Hebbal,3.0,Banglore,16500000
1589,Hebbal,2.0,Banglore,28000000
1590,Sanjaynagar,3.0,Banglore,18500000
1591,Jalahalli,3.0,Banglore,8900000
1592,Doddanekundi,2.0,Banglore,6061000
1593,Doddanekundi,3.0,Banglore,7408000
1594,Doddanekundi,3.0,Banglore,6083000
1595,Doddanekundi,2.0,Banglore,5949000
1596,Doddanekundi,2.0,Banglore,5657000
1597,Doddanekundi,2.0,Banglore,5500000
1598,Doddanekundi,2.0,Banglore,5837000
1599,JP Nagar Phase 4,4.0,Banglore,50100000
1600,JP Nagar Phase 4,4.0,Banglore,50100000
1601,Begur,2.0,Banglore,4600000
1602,Begur,2.0,Banglore,4500000
1603,Begur,2.0,Banglore,5150000
1604,Nelamangala,2.0,Banglore,6233000
1605,Yelahanka,3.0,Banglore,10100000
1606,Krishnarajapura,1.0,Banglore,3500000
1607,Krishnarajapura,3.0,Banglore,11600000
1608,Rajajinagar,4.0,Banglore,68700000
1609,Begur,3.0,Banglore,9335000
1610,Begur,3.0,Banglore,8001000
1611,Begur,3.0,Banglore,9658000
1612,Krishnarajapura,1.0,Banglore,3500000
1613,Junnasandra,3.0,Banglore,11600000
1614,Junnasandra,3.0,Banglore,11399999
1615,Junnasandra,3.0,Banglore,11000000
1616,Junnasandra,3.0,Banglore,11500000
1617,Junnasandra,3.0,Banglore,11700000
1618,Junnasandra,3.0,Banglore,10800000
1619,Junnasandra,3.0,Banglore,11200000
1620,Jalahalli,2.0,Banglore,5900000
1621,Jalahalli,3.0,Banglore,8500000
1622,Whitefield,4.0,Banglore,23600000
1623,Devanahalli,2.0,Banglore,3800000
1624,Begur,2.0,Banglore,4500000
1625,Begur,2.0,Banglore,4600000
1626,Begur,2.0,Banglore,4550000
1627,Begur,2.0,Banglore,5150000
1628,Begur,1.0,Banglore,4700000
1629,Begur,2.0,Banglore,4560000
1630,Begur,2.0,Banglore,4635000
1631,Yelahanka,3.0,Banglore,10600000
1632,JP Nagar Phase 4,4.0,Banglore,46500000
1633,Jalahalli,2.0,Banglore,6000000
1634,Bellandur,4.0,Banglore,30500000
1635,Bellandur,5.0,Banglore,36000000
1636,Bellandur,3.0,Banglore,22599999
1637,BTM Layout,3.0,Banglore,15700000
1638,BTM Layout,3.0,Banglore,13899999
1639,Muneshwara Nagar,3.0,Banglore,8365000
1640,Muneshwara Nagar,3.0,Banglore,7831999
1641,Muneshwara Nagar,3.0,Banglore,7767000
1642,Muneshwara Nagar,3.0,Banglore,9174000
1643,Muneshwara Nagar,3.0,Banglore,8662000
1644,Muneshwara Nagar,3.0,Banglore,9100000
1645,Muneshwara Nagar,3.0,Banglore,9100000
1646,Muneshwara Nagar,3.0,Banglore,7831999
1647,Muneshwara Nagar,3.0,Banglore,8874000
1648,Muneshwara Nagar,3.0,Banglore,8492000
1649,Muneshwara Nagar,3.0,Banglore,7767000
1650,BTM Layout,3.0,Banglore,14700000
1651,Muneshwara Nagar,3.0,Banglore,8435000
1652,Muneshwara Nagar,3.0,Banglore,8365000
1653,Muneshwara Nagar,3.0,Banglore,7831999
1654,Muneshwara Nagar,3.0,Banglore,8435000
1655,Muneshwara Nagar,3.0,Banglore,8365000
1656,Muneshwara Nagar,3.0,Banglore,8874000
1657,Muneshwara Nagar,3.0,Banglore,8365000
1658,Muneshwara Nagar,3.0,Banglore,8492000
1659,Muneshwara Nagar,3.0,Banglore,7767000
1660,BTM Layout,3.0,Banglore,13899999
1661,BTM Layout,3.0,Banglore,13899999
1662,BTM Layout,3.0,Banglore,13899999
1663,BTM Layout,3.0,Banglore,13899999
1664,BTM Layout,3.0,Banglore,13899999
1665,BTM Layout,3.0,Banglore,13899999
1666,RR Nagar,3.0,Banglore,10800000
1667,RR Nagar,3.0,Banglore,10800000
1668,RR Nagar,3.0,Banglore,7900000
1669,RR Nagar,3.0,Banglore,7900000
1670,Kumaraswamy Layout,3.0,Banglore,13799999
1671,Jalahalli,3.0,Banglore,9436000
1672,Electronic City Phase 2,3.0,Banglore,8700000
1673,Electronic City Phase 2,2.0,Banglore,6400000
1674,JP Nagar Phase 7,3.0,Banglore,9200000
1675,JP Nagar Phase 8,2.0,Banglore,7000000
1676,Bellandur,3.0,Banglore,27799999
1677,Bellandur,3.0,Banglore,22900000
1678,Bellandur,5.0,Banglore,45000000
1679,Bellandur,4.0,Banglore,30800000
1680,Bellandur,5.0,Banglore,45700000
1681,Bellandur,5.0,Banglore,36400000
1682,RR Nagar,3.0,Banglore,7900000
1683,Richmond Town,4.0,Banglore,113400000
1684,Yelahanka,3.0,Banglore,10600000
1685,Yelahanka,3.0,Banglore,10600000
1686,Yelahanka,3.0,Banglore,9200000
1687,Jalahalli,3.0,Banglore,8700000
1688,Yelahanka,3.0,Banglore,10100000
1689,Jalahalli,3.0,Banglore,8570000
1690,Jalahalli,3.0,Banglore,8700000
1691,RR Nagar,3.0,Banglore,8025000
1692,Begur,2.0,Banglore,4300000
1693,Ramamurthy Nagar,3.0,Banglore,11399999
1694,Jalahalli,2.0,Banglore,6300000
1695,Yelahanka,3.0,Banglore,10300000
1696,Ramamurthy Nagar,3.0,Banglore,11500000
1697,RR Nagar,3.0,Banglore,7900000
1698,Jalahalli,3.0,Banglore,8700000
1699,Hosa Road,3.0,Banglore,10100000
1700,Hosa Road,3.0,Banglore,10800000
1701,Hosa Road,2.0,Banglore,9446000
1702,Hosa Road,3.0,Banglore,11700000
1703,Hosa Road,2.0,Banglore,8306999
1704,Hosa Road,1.0,Banglore,4883000
1705,Hosa Road,3.0,Banglore,11500000
1706,Hosa Road,2.0,Banglore,8378000
1707,Hosa Road,1.0,Banglore,5951000
1708,Perungalathur,3.0,Chennai,5500000
1709,Madhavaram,2.0,Chennai,5350000
1710,Karapakkam,3.0,Chennai,8205000
1711,Mevalurkuppam,1.0,Chennai,2950000
1712,Kolapakkam,3.0,Chennai,7600000
1713,Kundrathur,2.0,Chennai,2234000
1714,Pammal,2.0,Chennai,5521000
1715,Puzhal,3.0,Chennai,6321000
1716,Selaiyur,1.0,Chennai,3404000
1717,Thoraipakkam OMR,3.0,Chennai,11600000
1718,Karapakkam,2.0,Chennai,6536000
1719,Anna Nagar,3.0,Chennai,24200000
1720,Mogappair,2.0,Chennai,8162000
1721,Sholinganallur,2.0,Chennai,6190000
1722,Mogappair,3.0,Chennai,9613000
1723,Sholinganallur,3.0,Chennai,7542000
1724,Medavakkam,2.0,Chennai,6338000
1725,Avadi,2.0,Chennai,2724000
1726,Perungalathur,3.0,Chennai,5500000
1727,Madhavaram,2.0,Chennai,5350000
1728,Karapakkam,3.0,Chennai,8205000
1729,Mevalurkuppam,1.0,Chennai,2950000
1730,Kolapakkam,3.0,Chennai,7600000
1731,Kundrathur,2.0,Chennai,2234000
1732,Pammal,2.0,Chennai,5521000
1733,Puzhal,3.0,Chennai,6321000
1734,Selaiyur,1.0,Chennai,3404000
1735,Thoraipakkam OMR,3.0,Chennai,11600000
1736,Karapakkam,2.0,Chennai,6536000
1737,Anna Nagar,3.0,Chennai,24200000
1738,Mogappair,2.0,Chennai,8162000
1739,Sholinganallur,2.0,Chennai,6190000
1740,Mogappair,3.0,Chennai,9613000
1741,Sholinganallur,3.0,Chennai,7542000
1742,Medavakkam,2.0,Chennai,6338000
1743,Avadi,2.0,Chennai,2724000
1744,Tiruvottiyur,2.0,Chennai,3388000
1745,Perungalathur,2.0,Chennai,3175000
1746,Manapakkam,2.0,Chennai,4065999
1747,Madipakkam,2.0,Chennai,6500000
1748,Thiruvanmiyur,2.0,Chennai,5500000
1749,Ramapuram,1.0,Chennai,3500000
1750,Saidapet,2.0,Chennai,17000000
1751,Avadi,2.0,Chennai,2499000
1752,Pammal,2.0,Chennai,4165999
1753,Madipakkam,2.0,Chennai,4875000
1754,Poonamallee,2.0,Chennai,3442000
1755,Pammal,2.0,Chennai,4165000
1756,Pallavaram,2.0,Chennai,5298000
1757,Pammal,3.0,Chennai,5184000
1758,Maraimalai Nagar,3.0,Chennai,10000000
1759,Madambakkam,3.0,Chennai,6225000
1760,Perungudi,2.0,Chennai,5599000
1761,Kolapakkam,2.0,Chennai,2960000
1762,Villivakkam,2.0,Chennai,7200000
1763,Adyar,4.0,Chennai,35000000
1764,Navallur,2.0,Chennai,4998000
1765,Chromepet,2.0,Chennai,6500000
1766,Nandambakkam,3.0,Chennai,8675000
1767,Anna Nagar,2.0,Chennai,6259000
1768,Kelambakkam,3.0,Chennai,3400000
1769,Vadapalani,2.0,Chennai,12000000
1770,Kumananchavadi,3.0,Chennai,5999000
1771,Thoraipakkam OMR,3.0,Chennai,10400000
1772,Sholinganallur,3.0,Chennai,8000000
1773,Sholinganallur,2.0,Chennai,5003000
1774,Porur,1.0,Chennai,4192000
1775,Periyapanicheri,3.0,Chennai,5500000
1776,Perungudi,3.0,Chennai,9110000
1777,Selaiyur,2.0,Chennai,3377000
1778,Manikandan Nagar,3.0,Chennai,5978000
1779,Porur,3.0,Chennai,6000000
1780,Kodambakkam,2.0,Chennai,12000000
1781,Velachery,3.0,Chennai,9086000
1782,Sholinganallur,3.0,Chennai,9500000
1783,East Tambaram,3.0,Chennai,5500000
1784,Gopalapuram,3.0,Chennai,20000000
1785,Navallur,3.0,Chennai,17500000
1786,Mevalurkuppam,3.0,Chennai,6800000
1787,Medavakkam,3.0,Chennai,6463000
1788,Avadi,3.0,Chennai,6409999
1789,Sunnambu Kolathur S Kolathur,2.0,Chennai,5000000
1790,Perumbakkam,3.0,Chennai,5261000
1791,Avadi,3.0,Chennai,6409999
1792,Urapakkam,2.0,Chennai,3000000
1793,Raja Annamalai Puram,3.0,Chennai,43000000
1794,Madhavaram,2.0,Chennai,4153000
1795,Perungudi,3.0,Chennai,13200000
1796,Madipakkam,2.0,Chennai,3850000
1797,Besant Nagar,2.0,Chennai,19300000
1798,Medavakkam,3.0,Chennai,9000000
1799,Nanmangalam,2.0,Chennai,3072000
1800,Jamalia,2.0,Chennai,4800000
1801,Avadi,2.0,Chennai,2500000
1802,Nanmangalam,2.0,Chennai,4100000
1803,Nanmangalam,2.0,Chennai,3032000
1804,Sholinganallur,3.0,Chennai,9746000
1805,Perumbakkam,3.0,Chennai,6203000
1806,Guduvancheri,2.0,Chennai,3500000
1807,Chromepet,3.0,Chennai,7936000
1808,Sembakkam,2.0,Chennai,4000000
1809,Adambakkam,1.0,Chennai,2800000
